district,year,total_enrollment,grade_3k,grade_pk_(half_day_&_full_day),grade_k,grade_1,grade_2,grade_3,grade_4,grade_5,grade_6,grade_7,grade_8,grade_9,grade_10,grade_11,grade_12,num_female,pct_female,num_male,pct_male,num_asian,pct_asian,num_black,pct_black,num_hispanic,pct_hispanic,num_multi-racial,pct_multi-racial,num_native_american,pct_native_american,num_white,pct_white,num_missing_race/ethnicity_data,pct_missing_race/ethnicity_data,num_students_with_disabilities,pct_students_with_disabilities,num_english_language_learners,pct_english_language_learners,num_poverty,pct_poverty,economic_need_index
9,2021,31124,1173,2039,1761,2077,2149,2280,2332,2409,2216,2402,2448,2119,2156,1816,1747,15491,0.49771881103515625,15633,0.5022811889648438,426,0.013687186874449253,8290,0.26635393500328064,21467,0.6897249817848206,120,0.003855545539408922,198,0.006361650303006172,423,0.013590797781944275,200,0.006425909232348204,7025,0.22571006417274475,6580,0.21141241490840912,28791,0.9250417947769165,0.9376582503318787
9,2022,28491,1334,1899,1726,1741,1898,1981,2028,2096,2022,2067,2270,2050,1839,1832,1708,14064,0.4936295747756958,14427,0.5063704252243042,353,0.012389877811074257,7590,0.26639991998672485,19776,0.6941139101982117,95,0.0033343862742185593,181,0.006352883297950029,391,0.01372363232076168,105,0.003685374278575182,6316,0.2216840386390686,6226,0.21852514147758484,25821,0.9062861800193787,0.9193684458732605
10,2018,56752,0,3743,4110,4230,4191,4335,4278,4201,3936,3825,3796,4595,4267,3617,3628,27734,0.4886876344680786,29015,0.5112594962120056,4343,0.07652593404054642,8772,0.15456724166870117,39322,0.6928742527961731,285,0.005021849647164345,477,0.00840498972684145,3461,0.06098463386297226,92,0.001621088245883584,11258,0.19837185740470886,11853,0.20885607600212097,47895,0.8439350128173828,0.8389663100242615
10,2019,54925,0,3699,3693,4038,3995,4004,4167,4052,3842,3849,3747,4313,4075,3778,3673,26890,0.48957669734954834,28035,0.5104233026504517,4267,0.07768775522708893,8262,0.1504233032464981,38231,0.6960582733154297,316,0.005753300152719021,473,0.008611743338406086,3269,0.059517525136470795,107,0.0019481111085042357,11149,0.20298588275909424,11328,0.20624488592147827,45675,0.8315885066986084,0.8328092694282532
10,2020,53811,517,3847,3503,3681,3919,3916,3936,4018,3718,3824,3819,4220,3920,3558,3415,26516,0.4927617013454437,27295,0.5072382688522339,4107,0.07632268220186234,8041,0.14943040907382965,37263,0.6924792528152466,354,0.006578580476343632,467,0.008678522892296314,3212,0.05969039723277092,367,0.006820166949182749,10734,0.1994759440422058,10537,0.19581498205661774,44864,0.8337329030036926,0.8465123176574707
10,2021,50700,501,2918,3141,3407,3478,3723,3748,3761,3666,3541,3740,4103,3921,3616,3436,24881,0.4907495081424713,25819,0.5092505216598511,3959,0.07808678597211838,7484,0.14761340618133545,35213,0.6945365071296692,389,0.007672583684325218,430,0.008481262251734734,2995,0.05907297879457474,230,0.004536489024758339,10326,0.20366863906383514,10298,0.20311637222766876,42258,0.8334911465644836,0.8420462012290955
10,2022,48016,1634,2767,2870,2988,3105,3165,3446,3403,3234,3351,3379,4090,3754,3525,3305,23573,0.49094051122665405,24443,0.509059488773346,3771,0.07853632420301437,7067,0.14718011021614075,33163,0.690665602684021,445,0.009267743676900864,398,0.008288904093205929,2983,0.06212512403726578,189,0.003936187829822302,9429,0.19637204706668854,9653,0.20103715360164642,38735,0.8067102432250977,0.8162861466407776
11,2018,40504,0,3140,2853,3076,3234,3301,3306,3416,3022,3083,3092,2725,2369,1931,1956,19337,0.47740963101387024,21166,0.5225656628608704,3289,0.08120185881853104,15734,0.38845545053482056,17067,0.42136579751968384,233,0.005752518307417631,520,0.012838237918913364,3582,0.08843570947647095,79,0.0019504246301949024,8119,0.20044933259487152,4670,0.11529725790023804,32222,0.795526385307312,0.7725819945335388
11,2019,39666,0,3020,2848,2992,2944,3130,3295,3222,3189,3037,3105,2670,2316,1918,1980,18832,0.47476428747177124,20834,0.5252357125282288,3408,0.0859174132347107,15103,0.380754292011261,16830,0.42429283261299133,245,0.006176574621349573,518,0.013059043325483799,3477,0.08765693753957748,85,0.002142893150448799,8099,0.20417989790439606,4666,0.11763223260641098,31079,0.7835173606872559,0.772922933101654
11,2020,38538,139,3034,2610,2931,2853,2869,3108,3202,3016,3170,3094,2653,2211,1904,1744,18388,0.4771394431591034,20150,0.5228605270385742,3451,0.08954797685146332,14385,0.3732679486274719,16412,0.42586538195610046,273,0.007083917036652565,478,0.012403341941535473,3446,0.08941823989152908,93,0.002413202542811632,7688,0.19949141144752502,4316,0.11199335753917694,30805,0.7993409037590027,0.7947915196418762
11,2021,36222,75,2478,2360,2520,2788,2743,2774,3001,2888,2935,3167,2421,2301,1951,1820,17372,0.4795980453491211,18850,0.5204019546508789,3335,0.09207111597061157,13039,0.35997459292411804,15745,0.4346805810928345,298,0.008227044716477394,459,0.01267185714095831,3264,0.09011097997426987,82,0.002263817470520735,7478,0.20644912123680115,4357,0.1202860176563263,29200,0.8061398863792419,0.7949747443199158
11,2022,34491,1122,2380,2277,2321,2336,2575,2576,2589,2681,2748,2832,2413,2018,1872,1751,16556,0.4800092875957489,17935,0.5199907422065735,3217,0.09327071160078049,12228,0.3545272648334503,15028,0.43570786714553833,302,0.008755907416343689,420,0.012177089229226112,3159,0.09158910810947418,137,0.003972050733864307,6736,0.19529733061790466,4210,0.12206082791090012,26974,0.7820590734481812,0.7698944807052612
12,2018,23401,0,1418,1617,1751,1889,1873,1891,1841,1609,1705,1645,1508,1691,1508,1455,11442,0.48895347118377686,11959,0.5110465288162231,642,0.02743472531437874,5760,0.24614332616329193,16314,0.6971496939659119,59,0.0025212597101926804,263,0.011238835752010345,341,0.014572027139365673,22,0.0009401307906955481,5286,0.22588777542114258,4670,0.1995641142129898,21689,0.9268407225608826,0.9286686182022095
12,2019,21955,0,1303,1566,1614,1695,1845,1815,1763,1552,1566,1665,1459,1449,1320,1343,10687,0.4867683947086334,11268,0.513231635093689,631,0.02874060533940792,5284,0.24067410826683044,15354,0.6993395686149597,63,0.002869505900889635,258,0.011751309037208557,339,0.015440674498677254,26,0.001184240449219942,5112,0.232839897274971,4472,0.2036893665790558,20233,0.9215668439865112,0.9271063804626465
12,2020,20980,184,1296,1493,1511,1574,1634,1778,1758,1505,1528,1571,1381,1464,1210,1093,10243,0.48822689056396484,10737,0.5117731094360352,627,0.029885604977607727,4993,0.23798856139183044,14613,0.6965205073356628,65,0.003098188666626811,229,0.01091515738517046,303,0.014442325569689274,150,0.0071496665477752686,4834,0.2304099202156067,4142,0.19742612540721893,19390,0.9242135286331177,0.9345139265060425
12,2021,19245,116,930,1248,1473,1437,1522,1569,1692,1414,1454,1501,1162,1386,1211,1130,9440,0.4905170202255249,9805,0.5094829797744751,607,0.031540658324956894,4521,0.23491816222667694,13434,0.6980514526367188,79,0.004104962106794119,229,0.011899194680154324,285,0.014809041284024715,90,0.004676539450883865,4479,0.2327357828617096,3969,0.2062353789806366,17841,0.927046000957489,0.9375902414321899
12,2022,18091,608,872,1273,1209,1376,1358,1419,1433,1223,1349,1397,1172,1204,1190,1008,8768,0.48466089367866516,9323,0.5153391361236572,535,0.02957271598279476,4279,0.23652644455432892,12684,0.7011221051216125,84,0.004643192980438471,204,0.011276325210928917,242,0.013376817107200623,63,0.0034823946189135313,4037,0.2231496274471283,3896,0.21535569429397583,16452,0.9094024896621704,0.9168427586555481
